RENDA,NÚMERO DE CRIANÇAS,IDADE_MEDIA,EDUCAÇÃO_LE,IDADE_FAIXA_LE,GÊNERO_Macho,ESTADO CIVIL_Solteiro,PROPRIEDADE DE CASA_Controlado,SCORE_NUM
45000.0,0,26.0,3,0,0,1,0,2
27500.0,0,29.0,1,0,0,1,0,1
62500.0,0,25.0,0,0,0,1,0,2
68000.0,2,29.0,2,0,0,0,1,2
65000.0,0,31.0,0,1,1,1,0,2
92500.0,0,37.0,4,1,1,1,1,0
70000.0,1,48.0,2,2,0,0,1,0
117500.0,2,30.0,4,0,1,0,1,0
47500.0,0,26.0,3,0,0,1,0,2
115000.0,3,45.0,0,2,0,0,1,0
135000.0,0,37.0,0,1,1,0,1,0
110000.0,3,45.0,0,2,0,0,1,0
47500.0,0,37.0,3,1,1,1,0,2
40000.0,0,26.0,3,0,0,1,0,2
75000.0,0,44.0,4,2,1,1,1,0
105000.0,0,42.0,4,2,1,1,1,0
65000.0,0,31.0,0,1,1,1,0,2
110000.0,0,41.0,2,2,1,1,1,0
37500.0,0,27.0,1,0,0,1,0,1
100000.0,3,45.0,0,2,0,0,1,0
130000.0,0,40.0,1,1,1,1,1,0
130000.0,0,40.0,1,1,1,1,1,0
110000.0,0,37.0,2,1,1,1,1,0
97500.0,1,47.0,2,2,0,0,1,0
67500.0,0,31.0,0,1,1,1,0,2
90000.0,1,37.0,1,1,0,0,1,0
142500.0,0,40.0,1,1,1,1,1,0
32500.0,0,28.0,3,0,0,1,0,1
50000.0,0,25.0,0,0,0,1,0,0
57500.0,0,25.0,0,0,0,1,0,2
112500.0,2,30.0,4,0,1,0,1,0
142500.0,0,40.0,1,1,1,1,1,0
100000.0,0,42.0,4,2,1,1,1,0
140000.0,0,37.0,0,1,1,0,1,0
65000.0,1,49.0,2,2,0,0,1,0
140000.0,0,51.0,0,3,1,0,1,0
95000.0,0,43.0,4,2,1,1,1,0
45000.0,0,34.0,3,1,1,1,0,2
115000.0,0,53.0,3,3,1,0,1,0
62500.0,2,39.0,0,1,0,0,1,0
67500.0,2,37.0,0,1,0,0,1,0
32500.0,0,28.0,3,0,0,1,0,1
95000.0,1,46.0,1,2,0,0,1,0
57500.0,0,37.0,0,1,0,1,0,2
110000.0,0,42.0,4,2,1,1,1,0
27500.0,0,29.0,1,0,0,1,0,1
80000.0,1,35.0,2,1,0,0,1,0
32500.0,0,28.0,3,0,0,1,0,1
85000.0,1,35.0,2,1,0,0,1,0
60000.0,0,25.0,0,0,0,1,0,2
37500.0,0,27.0,1,0,0,1,0,1
105000.0,3,45.0,0,2,0,0,1,0
52500.0,0,33.0,1,1,1,1,0,2
87500.0,0,44.0,4,2,1,1,1,0
75000.0,0,28.0,0,0,1,1,0,2
117500.0,2,30.0,4,0,1,0,1,0
87500.0,0,44.0,4,2,1,1,1,0
70000.0,0,31.0,0,1,1,1,0,2
150000.0,0,51.0,0,3,1,0,1,0
27500.0,0,29.0,1,0,0,1,0,1
150000.0,0,50.0,4,2,1,0,1,0
47500.0,0,34.0,3,1,1,1,0,2
90000.0,1,35.0,2,1,0,0,1,0
90000.0,1,37.0,2,1,0,0,1,0
67500.0,2,38.0,0,1,0,0,1,0
45000.0,0,26.0,3,0,0,1,0,2
52500.0,0,33.0,1,1,1,1,0,2
95000.0,1,47.0,2,2,0,0,1,0
155000.0,0,50.0,4,2,1,0,1,0
130000.0,0,52.0,1,3,1,0,1,0
60000.0,0,31.0,0,1,1,1,0,2
72500.0,2,37.0,0,1,0,0,1,0
115000.0,0,41.0,2,2,1,1,1,0
60000.0,0,25.0,0,0,0,1,0,2
137500.0,0,52.0,1,3,1,0,1,0
112500.0,2,37.0,4,1,1,0,1,0
85000.0,1,37.0,2,1,0,0,1,0
37500.0,0,37.0,1,1,0,1,0,1
